,input_size,insertion_time,checking_time,fpr,cpr,uniform,independent
0,10000,0.02343606948852539,0.021976709365844727,9.175150288568343e-09,138.62943611198907,True,True
1,110000,0.2559478282928467,0.24152588844299316,0.0008033857161834938,12.602676010180824,True,True
2,210000,0.488602876663208,0.46169137954711914,0.011367526696609958,6.601401719618527,True,True
3,310000,0.7205977439880371,0.6804556846618652,0.045618066853190156,4.471917293935131,True,True
4,410000,0.9518775939941406,0.8989224433898926,0.10838758468381719,3.3812057588290014,True,True
5,510000,1.1804065704345703,1.1191725730895996,0.1942575766258428,2.7182242374899817,True,True
6,610000,1.4140279293060303,1.3405170440673828,0.29314721115914294,2.272613706753919,True,True
7,710000,1.6426076889038086,1.5582752227783203,0.3951313218904815,1.9525272691829445,True,True
8,810000,1.880155086517334,1.777627944946289,0.49273569898753594,1.7114745199010994,True,True
9,910000,2.1101741790771484,1.9956154823303223,0.5813715923900157,1.5234003968350447,True,True
10,1010000,2.344412326812744,2.2168023586273193,0.6588726753272586,1.3725686743761294,True,True
11,1110000,2.577504873275757,2.439953327178955,0.7247779991121697,1.2489138388467482,True,True
12,1210000,2.8048832416534424,2.653998613357544,0.7796721149043054,1.1456978191073477,True,True
13,1310000,3.0352730751037598,2.873976707458496,0.8246861336997168,1.0582399703205272,True,True
14,1410000,3.262908458709717,3.0905942916870117,0.8611633249443317,0.9831874901559507,True,True
15,1510000,3.5001330375671387,3.3124775886535645,0.8904563513153121,0.9180757358409871,True,True
16,1610000,3.727851152420044,3.531667947769165,0.9138174032395708,0.8610523982111121,True,True
17,1710000,3.967010021209717,3.76025652885437,0.9323484680897359,0.8106984567952576,True,True
18,1810000,4.222501039505005,4.016793251037598,0.9469876879573547,0.7659084868065694,True,True
19,1910000,4.428126335144043,4.195343494415283,0.958515609476284,0.7258085660313564,True,True
20,2010000,4.649426698684692,4.402067422866821,0.9675710963398909,0.6896986871243237,True,True
21,2110000,4.891415596008301,4.643688678741455,0.9746708141232839,0.6570115455544505,True,True
22,2210000,5.11591100692749,4.846904993057251,0.9802288960517619,0.6272825163438419,True,True
23,2310000,5.405867576599121,5.103925704956055,0.984575073479947,0.6001274290562297,True,True
24,2410000,5.58190655708313,5.282508850097656,0.987970546594553,0.5752258759833571,True,True
25,2510000,5.816223621368408,5.506753921508789,0.9906214270723345,0.5523085104063309,True,True
26,2610000,6.08838415145874,5.779853105545044,0.9926898736790949,0.5311472647968929,True,True
27,2710000,6.2811431884765625,5.9400634765625,0.9943031735825824,0.5115477347305869,True,True
28,2810000,6.508283853530884,6.160451889038086,0.9955610651162797,0.49334318901063723,True,True
29,2910000,6.734218120574951,6.380527019500732,0.9965415935780415,0.4763898148178318,True,True
30,3010000,6.978057146072388,6.599678993225098,0.997305764921693,0.46056291067106,True,True
31,3110000,7.215256214141846,6.844130516052246,0.9979012268147863,0.4457538138649166,True,True
32,3210000,7.432232856750488,7.037106275558472,0.9983651699869743,0.43186740221803444,True,True
33,3310000,7.673604249954224,7.266969442367554,0.9987266088033657,0.4188200486767041,True,True
34,3410000,7.906734943389893,7.477549314498901,0.9990081701395155,0.40653793581228465,True,True
35,3510000,8.142289161682129,7.697038173675537,0.9992274943114241,0.3949556584387153,True,True
36,3610000,8.369926929473877,7.918623685836792,0.9993983308287763,0.38401505848196416,True,True
37,3710000,8.593586683273315,8.139747858047485,0.9995313946265185,0.37366424828029393,True,True
38,3810000,8.824625730514526,8.366328477859497,0.9996350346334433,0.36385678769550933,True,True
39,3910000,9.078509330749512,8.577293157577515,0.9997157555067101,0.35455098749869324,True,True
40,4010000,9.26742672920227,8.782024621963501,0.999778624597918,0.3457093169875039,True,True
41,4110000,9.51956820487976,9.02879548072815,0.9998275892861922,0.33729789808269844,True,True
42,4210000,9.745877981185913,9.240229606628418,0.9998657243525966,0.3292860715249146,True,True
43,4310000,9.97860312461853,9.443275928497314,0.9998954247781721,0.3216460234616916,True,True
44,4410000,10.224114418029785,9.684393167495728,0.9999185559817384,0.31435246283897744,True,True
45,4510000,10.455188989639282,9.92096495628357,0.9999365708777088,0.3073823417117274,True,True
46,4610000,10.779758930206299,10.174934387207031,0.9999506010726477,0.3007146119565923,True,True
47,4710000,10.91256332397461,10.336466550827026,0.9999615279085388,0.2943300129766222,True,True
48,4810000,11.137749195098877,10.549142599105835,0.9999700378030507,0.28821088588771115,True,True
49,4910000,11.381640434265137,10.768701314926147,0.9999766653556916,0.282341010411383,True,True
