,input_size,insertion_time,checking_time,fpr,cpr,uniform,independent
27,280000,1.7448129653930664,1.6503877639770508,0.7972099502384252,2.4755256448569476,True,True
28,290000,1.8033671379089355,1.7070295810699463,0.8229478567047478,2.3901626915860184,True,True
29,300000,1.8644616603851318,1.77213716506958,0.8457195850907286,2.3104906018664844,True,True
30,310000,1.9260239601135254,1.8259239196777344,0.8657889445698042,2.2359586469675654,True,True
31,320000,1.9919111728668213,1.8843190670013428,0.8834178486526703,2.166084939249829,True,True
32,330000,2.07655668258667,1.9571757316589355,0.8988588805965859,2.100446001696804,True,True
33,340000,2.1201648712158203,2.007542610168457,0.9123504346711436,2.038668178117486,True,True
34,350000,2.179006576538086,2.0614137649536133,0.9241138277672803,1.980420515885558,True,True
35,360000,2.2569687366485596,2.1187381744384766,0.9343518742639474,1.9254088348887368,True,True
36,370000,2.3035340309143066,2.1882259845733643,0.9432485138685913,1.8733707582701224,True,True
37,380000,2.3615756034851074,2.2405591011047363,0.9509691697155409,1.8240715277893298,True,True
38,390000,2.4225893020629883,2.295743703842163,0.9576615891032714,1.7773004629742186,True,True
39,400000,2.4890623092651367,2.3573129177093506,0.9634569812570544,1.7328679513998633,True,True
40,410000,2.547154426574707,2.4133896827697754,0.9684713162323307,1.6906028794145007,True,True
41,420000,2.630371570587158,2.4722137451171875,0.9728066880206597,1.6503504299046317,True,True
42,430000,2.6708409786224365,2.531304121017456,0.9765526747996989,1.61197018734871,True,True
43,440000,2.7363202571868896,2.593903064727783,0.9797876517614005,1.575334501272603,True,True
44,450000,2.7995357513427734,2.6506471633911133,0.9825800285723981,1.5403270679109895,True,True
45,460000,2.8626255989074707,2.7128865718841553,0.9849893955635559,1.5068416968694462,True,True
46,470000,2.921942710876465,2.76698899269104,0.9870675712832255,1.4747812352339262,True,True
47,480000,2.984421730041504,2.830709457397461,0.988859549942929,1.4440566261665526,True,True
48,490000,3.043919086456299,2.888098955154419,0.9904043512151486,1.4145860827753987,True,True
49,500000,3.117612600326538,2.949617862701416,0.9917357773376567,1.3862943611198906,True,True
50,510000,3.1763556003570557,3.0062055587768555,0.9928830839405557,1.3591121187449908,True,True
51,520000,3.2490761280059814,3.0598647594451904,0.9938715717445221,1.332975347230664,True,True
52,530000,3.318286657333374,3.1449685096740723,0.9947231065082548,1.3078248689810288,True,True
53,540000,3.359699249267578,3.1810269355773926,0.9954565744963401,1.2836058899258247,True,True
54,550000,3.4234769344329834,3.236985206604004,0.9960882804166011,1.2602676010180824,True,True
55,560000,3.4781391620635986,3.302180290222168,0.9966322943251504,1.2377628224284738,True,True
56,570000,3.555292844772339,3.370119333267212,0.9971007534788132,1.2160476851928865,True,True
